股票代码,股票名称,最新价,涨跌幅(%),涨跌额,成交量(手),成交额(万),振幅(%),换手率(%),市盈率(TTM),总市值(万),流通市值(万)
300505,川金诺,37.3,20.01,6.22,927181,3246657926.37,17.02,42.66,25.26,10252558608,8107573581
301373,凌玮科技,44.26,20.01,7.38,142991,602569974.08,18.03,37.17,34.89,4800974748,1702802720
688432,有研硅,17.76,20.0,2.96,489189,816855530.0,20.61,3.91,106.1,22205360998,22205360998
301100,风光股份,25.14,20.0,4.19,85314,212409673.17,8.45,9.75,-94.42,5028000000,2199750000
300658,延江股份,20.76,20.0,3.46,530048,1014659546.88,18.96,23.5,121.9,6908182820,4681670931
688661,和林微纳,104.11,20.0,17.35,106481,1023962944.0,22.06,7.01,322.45,15813041565,15813041565
300788,中信出版,42.74,19.99,7.12,181364,725049897.72,22.63,9.54,37.89,8127075751,8127075751
300821,东岳硅材,14.89,19.98,2.48,1094539,1553590962.41,15.07,9.12,4691.1,17868000000,17864884268
300437,清水源,18.98,19.97,3.16,459600,837248967.32,19.15,26.14,-98.71,4790986851,3336885131
300395,菲利华,123.58,18.99,19.72,778659,8860175072.3,21.79,15.22,145.05,64541839029,63227177194
688125,安达智能,222.98,17.8,33.69,15922,336377380.0,16.13,1.95,-141.63,18312534861,18215177333
300739,明阳电路,29.3,17.06,4.27,876471,2427690189.3,23.01,25.54,110.18,10942236100,10054534000
688031,星环科技-U,222.0,16.55,31.52,136753,2633746316.0,31.62,11.29,-94.59,26892173352,26892173352
688480,赛恩斯,118.87,16.54,16.87,47379,529057655.0,24.85,4.97,114.79,11331422898,11331422898
688308,欧科亿,65.87,16.17,9.17,92814,566189925.0,22.42,5.85,153.43,10458951106,10458951106
300257,开山股份,22.69,15.94,3.12,364210,788438922.53,18.75,3.81,55.61,22545578558,21661920638
300539,横河精密,34.13,14.76,4.39,275955,901443422.85,19.07,12.66,183.01,9150275594,7436525529
300164,通源石油,14.68,14.51,1.86,3014797,4282475443.66,18.56,51.69,115.24,8638572674,8561534221
300567,精测电子,155.0,14.48,19.6,186796,2761487787.82,17.67,8.23,324.91,43360558700,35192507270
300737,科顺股份,8.19,14.23,1.02,731698,575802749.24,15.9,8.25,339.41,9090656421,7263752949
688146,中船特气,50.97,14.13,6.31,192824,936854881.0,14.13,13.3,77.76,26984117662,7389163817
300618,寒锐钴业,53.0,13.83,6.44,426830,2202455641.43,17.55,15.66,51.65,16413945823,14442322874
300617,安靠智电,57.7,13.67,6.94,209657,1173594434.36,15.13,15.09,97.14,9561332213,8015898875
300720,海川智能,36.99,12.98,4.25,117409,415154769.88,17.96,6.72,195.75,7208509699,6460377147
688409,富创精密,109.5,12.71,12.35,109493,1171765036.0,12.95,3.58,670.89,33530079425,33530079425
300774,倍杰特,25.61,12.23,2.79,235743,579290692.5,14.99,12.1,74.13,10468437333,4990888350
688556,高测股份,16.68,11.95,1.78,1285857,2134372483.0,14.97,15.48,-127.31,13857309219,13857309219
301377,鼎泰高科,212.5,11.75,22.34,61508,1196032536.53,20.9,8.66,231.45,87125000000,15092600000
300301,ST长方,2.92,11.45,0.3,509411,148355792.5,17.18,6.45,-20.95,2423216805,2306440019
300814,中富电路,91.0,11.42,9.33,152838,1322307790.0,12.12,7.98,469.06,17420142012,17420142012
688818,电科蓝天,61.5,11.41,6.3,468734,2746121758.0,12.79,35.51,706.7,106820819235,8119004849
300666,江丰电子,159.3,11.4,16.3,241831,3731082094.55,13.8,10.93,79.1,42265584802,35230328101
688199,久日新材,30.85,11.37,3.15,183807,558023574.0,20.0,11.4,1371.55,4973860693,4973860693
301511,德福科技,36.89,11.25,3.73,867949,3142538760.52,9.83,23.17,261.88,23252578580,13820139471
688549,中巨芯-U,10.65,10.36,1.0,712111,738556214.0,12.54,12.08,468.07,15732989400,6276247350
002021,中捷资源,3.58,10.15,0.33,465780,162135248.71,9.85,3.9,2631.88,4279808816,4279667650
600010,包钢股份,2.93,10.15,0.27,20762998,5880190532.0,10.15,6.62,427.91,132695654690,91945738981
301278,快可电子,43.0,10.14,3.96,140267,594031170.73,15.63,27.29,144.94,3857450149,2210284452
600545,卓郎智能,3.38,10.1,0.31,1816482,603212280.0,10.75,10.16,-18.97,6043143310,6043143310
000816,智慧农业,4.04,10.08,0.37,1573243,619952082.92,10.35,10.95,427.64,5845933805,5803179107
600227,赤天化,2.95,10.07,0.27,991835,289163253.0,7.09,7.76,-24.51,4981746671,3768919419
002498,汉缆股份,8.2,10.07,0.75,2633686,2078187216.84,10.07,7.92,46.05,27279727200,27279727200
000056,皇庭国际,2.3,10.05,0.21,1211193,272182185.6,9.57,13.4,-0.83,2719814906,2078571026
000826,启迪环境,2.52,10.04,0.23,911615,223359531.72,10.04,6.4,-3.94,3591890185,3591435857
600337,美克家居,2.85,10.04,0.26,839506,230620886.0,10.04,5.84,-13.96,4095444690,4095444690
600884,杉杉股份,15.13,10.04,1.38,2447647,3616884182.0,10.76,13.34,90.01,34033616617,27765210457
601068,中铝国际,6.36,10.03,0.58,332220,204714024.0,10.03,1.3,119.89,19002638658,16278996642
000593,德龙汇能,15.9,10.03,1.45,279638,432157155.03,11.49,7.8,172.6,5702233043,5699882387
000560,我爱我家,3.62,10.03,0.33,2018129,712558855.41,8.51,8.95,151.09,8526913081,8166497258
002348,高乐股份,7.57,10.03,0.69,351546,259975956.28,10.9,3.89,-460.72,7170304000,6839744802
000899,赣能股份,12.07,10.03,1.1,394541,462691766.08,9.66,4.04,10.14,11776430563,11776430563
605007,五洲特纸,17.23,10.03,1.57,225328,373811531.0,10.03,5.61,33.97,8196827952,6918759052
002949,华阳国际,17.24,10.02,1.57,144046,238781680.0,11.1,9.48,35.9,3379796215,2618450662
600230,沧州大化,23.5,10.02,2.14,279017,632545021.0,11.05,6.74,153.2,9728083853,9728083853
002678,珠江钢琴,6.15,10.02,0.56,311863,184622123.85,10.55,2.3,-28.71,8353669986,8349082855
601208,东材科技,31.74,10.02,2.89,1109498,3386911057.0,10.02,10.98,84.99,32063206611,32063206611
603057,紫燕食品,32.19,10.01,2.93,89256,281680195.0,9.88,2.17,51.43,13311007613,13262280000
000962,东方钽业,51.32,10.01,4.67,347451,1698969181.08,10.87,6.93,93.3,25909634234,25745415725
600096,云天化,43.3,10.01,3.94,1736896,7377838403.0,8.51,9.53,12.52,78935498652,78935498652
000547,航天发展,30.34,10.01,2.76,2703709,7843031966.82,10.88,17.01,-74.41,48497527281,48213933021
001396,誉帆科技,55.85,10.01,5.08,33497,180879010.99,11.46,15.08,58.39,5970499934,1240268992
600301,华锡有色,56.84,10.01,5.17,104788,582880736.0,8.67,3.81,54.56,35955135506,15650080108
002428,云南锗业,40.35,10.01,3.67,365170,1468609311.58,2.97,5.59,1089.09,26353392000,26349987469
002978,安宁股份,41.23,10.01,3.75,110255,440875610.02,9.53,2.98,23.05,19460145968,15254685968
600206,有研新材,24.96,10.0,2.27,755275,1822393960.0,9.61,8.92,64.59,21129971167,21129971167
000657,中钨高新,58.83,10.0,5.35,1013350,5708607047.88,10.68,6.97,118.86,134050296852,85475597870
605178,时空科技,74.78,10.0,6.8,73140,541005580.0,7.03,7.38,-47.84,7409202400,7409202400
605289,罗曼股份,108.88,10.0,9.9,153125,1630795217.0,9.58,14.13,422.15,11868736600,11795787000
603826,坤彩科技,20.57,10.0,1.87,134807,266877398.0,9.68,2.06,165.51,13477464000,13477464000
002378,章源钨业,33.55,10.0,3.05,789244,2553373169.21,8.49,6.6,159.01,40307562694,40096321930
000636,风华高科,25.74,10.0,2.34,1736652,4441950225.0,4.4,15.01,97.76,29781520051,29781520051
000581,威孚高科,23.54,10.0,2.14,496795,1141804716.68,9.63,6.26,14.82,22758135213,18687630333
000661,长春高新,97.26,10.0,8.84,167926,1577452483.59,9.99,4.2,25.55,39676004071,38866512884
001203,大中矿业,39.84,9.99,3.62,303137,1170469042.71,8.26,2.3,77.13,61077924530,52402205097
002725,跃岭股份,17.5,9.99,1.59,81011,141769775.0,0.0,3.82,169.87,4480000000,3710241658
600111,北方稀土,60.43,9.99,5.49,2791973,16548383074.0,9.7,7.72,106.3,218458428832,218458428832
601872,招商轮船,14.75,9.99,1.34,2107543,3086592751.0,7.08,2.61,27.07,119099442905,119099442905
002114,罗平锌电,10.68,9.99,0.97,295846,305469114.0,9.58,9.15,-26.9,3453861452,3453813990
002989,中天精装,30.28,9.99,2.75,70519,206318399.48,9.92,3.85,-73.79,6104670316,5551204906
001209,洪兴股份,26.87,9.99,2.44,206465,543859877.47,10.36,21.49,153.92,3534015486,2582062869
688072,拓荆科技,360.0,9.98,32.67,128250,4496189980.0,11.56,4.54,136.99,101644164720,101644164720
000012,南  玻Ａ,5.18,9.98,0.47,1072319,544342785.02,10.62,5.47,79.32,15906185114,10149259978
